"month";"mean"
"1921-янв";-9,7
"1921-фев";-10,9
"1921-мар";0,6
"1921-апр";10,4
"1921-май";15,7
"1921-июн";17,1
"1921-июл";15,5
"1921-авг";15,6
"1921-сен";9,1
"1921-окт";3,1
"1921-ноя";-5,3
"1921-дек";-9,2
"1922-янв";-10,5
"1922-фев";-8,8
"1922-мар";-3,5
"1922-апр";4,7
"1922-май";12,2
"1922-июн";15,4
"1922-июл";18,2
"1922-авг";15,7
"1922-сен";9,8
"1922-окт";2,4
"1922-ноя";-1,2
"1922-дек";-6,4
"1923-янв";-7,5
"1923-фев";-13,6
"1923-мар";-5,2
"1923-апр";0,5
"1923-май";12,4
"1923-июн";14,7
"1923-июл";15,6
"1923-авг";13,4
"1923-сен";12,3
"1923-окт";7,1
"1923-ноя";2,6
"1923-дек";-7,2
"1924-янв";-14
"1924-фев";-11,7
"1924-мар";-6,3
"1924-апр";3,3
"1924-май";13
"1924-июн";17,2
"1924-июл";16
"1924-авг";16
"1924-сен";13,5
"1924-окт";4,3
"1924-ноя";-1,5
"1924-дек";-7,4
"1925-янв";-3,7
"1925-фев";-2,3
"1925-мар";-2,1
"1925-апр";6,9
"1925-май";13,3
"1925-июн";14,5
"1925-июл";19,1
"1925-авг";16,3
"1925-сен";10,5
"1925-окт";2,4
"1925-ноя";-3
"1925-дек";-6,9
"1926-янв";-12,4
"1926-фев";-10,7
"1926-мар";-5,4
"1926-апр";1,5
"1926-май";13,1
"1926-июн";16,8
"1926-июл";16,8
"1926-авг";13,1
"1926-сен";10,6
"1926-окт";2,7
"1926-ноя";2,1
"1926-дек";-10,1
"1927-янв";-14,8
"1927-фев";-8,5
"1927-мар";-3,6
"1927-апр";3,6
"1927-май";9,3
"1927-июн";16,2
"1927-июл";18,6
"1927-авг";18,4
"1927-сен";11,9
"1927-окт";3,6
"1927-ноя";-2,3
"1927-дек";-11,6
"1928-янв";-7,4
"1928-фев";-12,9
"1928-мар";-7,1
"1928-апр";1,6
"1928-май";11,7
"1928-июн";12,2
"1928-июл";16,4
"1928-авг";14,8
"1928-сен";11,2
"1928-окт";4,4
"1928-ноя";2,5
"1928-дек";-7,3
"1929-янв";-11,5
"1929-фев";-19,5
"1929-мар";-7,8
"1929-апр";-1,4
"1929-май";15
"1929-июн";13,6
"1929-июл";18,2
"1929-авг";18,5
"1929-сен";9,2
"1929-окт";7,6
"1929-ноя";0,4
"1929-дек";-6
"1930-янв";-4,8
"1930-фев";-10,9
"1930-мар";-1,3
"1930-апр";6,1
"1930-май";12
"1930-июн";13
"1930-июл";16,9
"1930-авг";18,8
"1930-сен";8,4
"1930-окт";5,6
"1930-ноя";-0,2
"1930-дек";-10,4
"1931-янв";-11,2
"1931-фев";-15,1
"1931-мар";-5,2
"1931-апр";2,6
"1931-май";13,6
"1931-июн";14,8
"1931-июл";20,4
"1931-авг";16,7
"1931-сен";9,9
"1931-окт";4,1
"1931-ноя";-3,2
"1931-дек";-7,3
"1932-янв";-4
"1932-фев";-14,8
"1932-мар";-7,6
"1932-апр";4,2
"1932-май";13,9
"1932-июн";16,8
"1932-июл";19,3
"1932-авг";19,1
"1932-сен";12,2
"1932-окт";6,2
"1932-ноя";-0,8
"1932-дек";-1,4
"1933-янв";-13,1
"1933-фев";-10,5
"1933-мар";-3,9
"1933-апр";4,2
"1933-май";9,2
"1933-июн";15
"1933-июл";19,8
"1933-авг";14,4
"1933-сен";11,1
"1933-окт";4,8
"1933-ноя";-4,2
"1933-дек";-14,7
"1934-янв";-7,4
"1934-фев";-7,7
"1934-мар";-2,4
"1934-апр";6,1
"1934-май";14,8
"1934-июн";13,3
"1934-июл";19,6
"1934-авг";16,7
"1934-сен";12,2
"1934-окт";7,4
"1934-ноя";1,7
"1934-дек";-9,9
"1935-янв";-11,1
"1935-фев";-4,8
"1935-мар";-3
"1935-апр";4,7
"1935-май";9,7
"1935-июн";17,1
"1935-июл";15,2
"1935-авг";16,3
"1935-сен";11,5
"1935-окт";8,6
"1935-ноя";-2,5
"1935-дек";-5,6
"1936-янв";-4,9
"1936-фев";-13
"1936-мар";-1,9
"1936-апр";4,3
"1936-май";12,6
"1936-июн";19
"1936-июл";22,7
"1936-авг";17,7
"1936-сен";10,1
"1936-окт";2,3
"1936-ноя";0,1
"1936-дек";-2,5
"1937-янв";-11,6
"1937-фев";-7,1
"1937-мар";-1,5
"1937-апр";7,6
"1937-май";11,6
"1937-июн";18
"1937-июл";17,6
"1937-авг";17,8
"1937-сен";13,8
"1937-окт";5,9
"1937-ноя";-0,1
"1937-дек";-8,4
"1938-янв";-8,9
"1938-фев";-6,1
"1938-мар";-0,7
"1938-апр";3,9
"1938-май";12,1
"1938-июн";15,9
"1938-июл";23,3
"1938-авг";21,7
"1938-сен";14,9
"1938-окт";6,2
"1938-ноя";2,7
"1938-дек";-10,5
"1939-янв";-8,6
"1939-фев";-4,1
"1939-мар";-3,3
"1939-апр";3,3
"1939-май";10,6
"1939-июн";17,6
"1939-июл";20,2
"1939-авг";19,6
"1939-сен";8,5
"1939-окт";1,9
"1939-ноя";-0,6
"1939-дек";-7,4
"1940-янв";-19,4
"1940-фев";-11,8
"1940-мар";-5,1
"1940-апр";3
"1940-май";12,9
"1940-июн";15,5
"1940-июл";19
"1940-авг";18,4
"1940-сен";13,1
"1940-окт";2,9
"1940-ноя";1,5
"1940-дек";-7,6
"1941-янв";-14,2
"1941-фев";-10,6
"1941-мар";-6,3
"1941-апр";1,7
"1941-май";7,3
"1941-июн";12,3
"1941-июл";21
"1941-авг";17
"1941-сен";9,2
"1941-окт";2,1
"1941-ноя";-5,3
"1941-дек";-12,8
"1942-янв";-20,2
"1942-фев";-11,8
