Город;Регион;Федеральный округ;Население;Основание;Статус города
Абаза;Хакасия;Сибирский;17111;1867;1966
Абакан;Хакасия;Сибирский;165183;1734;1931
Абдулино;Оренбургская область;Приволжский;20663;1795;1923
Абинск;Краснодарский край;Южный;34926;1863;1963
Агидель;Башкортостан;Приволжский;16365;1980;1991
Агрыз;Татарстан;Приволжский;19299;1646;1938
Адыгейск;Адыгея;Южный;12689;1969;1976
Азнакаево;Татарстан;Приволжский;34859;1762;1987
Азов;Ростовская область;Южный;82882;1067;1708
Ак-Довурак;Тыва;Сибирский;13469;1964;1964
Аксай;Ростовская область;Южный;41984;1570;1957
Алагир;Северная Осетия — Алания;Северо-Кавказский;20949;1850;1938
Алапаевск;Свердловская область;Уральский;38198;1639;1781
Алатырь;Чувашия;Приволжский;38202;1552;1552
Алдан;Якутия;Дальневосточный;21277;1924;1932
Алейск;Алтайский край;Сибирский федеральный округ;28528;1913;1939
Александров;Владимирская область;Центральный;61544;XIV век;1778
Александровск;Пермский край;Приволжский;15022;1783;1951
Александровск-Сахалинский;Сахалинская область;Дальневосточный;10613;1869;1917
Алексеевка;Белгородская область;Центральный;39026;1685;1954
Алексин;Тульская область;Центральный;61738;1348;1777
Алзамай;Иркутская область;Сибирский;6751;1899;1955
Алупка;Крым;Южный;7771;960;1938
Алушта;Крым;Южный;29078;VI век;1902
Альметьевск;Татарстан;Приволжский;146309;XVIII век;1953
Амурск;Хабаровский край;Дальневосточный;42977;1958;1973
Анадырь;Чукотский АО;Дальневосточный;13053;1889;1965
Анапа;Краснодарский край;Южный;58983;1781;1846
Ангарск;Иркутская область;Сибирский;233765;1948;1951
Андреаполь;Тверская область;Центральный;8265;1907;1967
Анжеро-Судженск;Кемеровская область;Сибирский;76669;1896;1931
Анива;Сахалинская область;Дальневосточный;8449;1886;1946
Апатиты;Мурманская область;Северо-Западный;59690;1926;1966
Апрелевка;Московская область;Центральный;18467;1899;1961
Апшеронск;Краснодарский край;Южный;40229;1863;1947
Арамиль;Свердловская область;Уральский;14227;1675;1966
Аргун;Чечня;Северо-Кавказский;29528;XVIII век;1967
Ардатов;Мордовия;Приволжский;9400;1671;1780
Ардон;Северная Осетия — Алания;Северо-Кавказский;18774;1824;1964
Арзамас;Нижегородская область;Приволжский;106367;1552;1578
Аркадак;Саратовская область;Приволжский;12846;1721;1963
Армавир;Краснодарский край;Южный;188897;1839;1914
Армянск;Крым;Южный;21987;1736;1993
Арсеньев;Приморский край;Дальневосточный;56742;1902;1952
Арск;Татарстан;Приволжский;18114;XIII век;2008
Артём;Приморский край;Дальневосточный;102636;1924;1938
Артёмовск;Красноярский край;Сибирский;2180;1700;1939
Артёмовский;Свердловская область;Уральский;32878;1665;1938
Архангельск;Архангельская область;Северо-Западный;348716;1584;1613
Асбест;Свердловская область;Уральский;70067;1889;1933
Асино;Томская область;Сибирский;25614;1896;1952
Астрахань;Астраханская область;Южный;520662;1558;1717
Аткарск;Саратовская область;Приволжский;25620;XVIII век;1780
Ахтубинск;Астраханская область;Южный;41898;1768;1959
Ачинск;Красноярский край;Сибирский;109156;1683;1782
Аша;Челябинская область;Уральский;31916;1898;1933
Бабаево;Вологодская область;Северо-Западный;12074;XV век;1925
Бабушкин;Бурятия;Сибирский;4542;1760;1902
Бавлы;Татарстан;Приволжский;22109;1658;1997
Багратионовск;Калининградская область;Северо-Западный;6399;1336;1946
Байкальск;Иркутская область;Сибирский;13589;1961;1966
Баймак;Башкортостан;Приволжский;17710;1850;1938
Бакал;Челябинская область;Уральский;20953;1757;1951
Баксан;Кабардино-Балкария;Северо-Кавказский;36857;1891;1967
Балабаново;Калужская область;Центральный;26337;1584;1972
Балаково;Саратовская область;Приволжский;199576;1762;1911
Балахна;Нижегородская область;Приволжский;51526;1474;1536
Балашиха;Московская область;Центральный;215353;1830;1939
Балашов;Саратовская область;Приволжский;82222;XVII век;1780
Балей;Забайкальский край;Сибирский;12536;1736;1932
Балтийск;Калининградская область;Северо-Западный;32670;1626;1725
Барабинск;Новосибирская область;Сибирский;30250;1893;1917
Барнаул;Алтайский край;Сибирский;635585;1730;1771
Барыш;Ульяновская область;Приволжский;17149;XVII век;1954
Батайск;Ростовская область;Южный;112400;1769;1938
Бахчисарай;Крым;Южный;27448;1532;1532
Бежецк;Тверская область;Центральный;24517;1137;1775
Белая Калитва;Ростовская область;Южный;43688;1703;1958
Белая Холуница;Кировская область;Приволжский;11232;1764;1965
Белгород;Белгородская область;Центральный;356426;1596;1596
Белебей;Башкортостан;Приволжский;60183;1757;1781
Белёв;Тульская область;Центральный;13918;1147;1147
Белинский;Пензенская область;Приволжский;8567;1708;1780
Белово;Кемеровская область;Сибирский;76752;1726;1938
Белогорск;Амурская область;Дальневосточный;68220;1860;1926
Белогорск;Крым;Южный;16354;XIII век;XIII век
Белозерск;Вологодская область;Северо-Западный;9614;862;862
Белокуриха;Алтайский край;Сибирский;15072;1846;1982
Беломорск;Карелия;Северо-Западный;11217;XII век;1938
Белоозёрский;Московская область;Центральный;17842;1961;2019
Белорецк;Башкортостан;Приволжский;68804;1762;1923
Белореченск;Краснодарский край;Южный;53891;1862;1958
Белоусово;Калужская область;Центральный;8432;1962;2004
Белоярский;Ханты-Мансийский АО — Югра;Уральский;20283;1969;1988
